Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,13930.261719,14085.549805,13907.582031,13922.073242,13922.073242,18215004658
2022-12-06,13922.412109,14089.763672,13936.965820,14085.834961,14085.834961,16394049724
2022-12-07,14085.837891,14110.531250,13808.406250,13798.750977,13798.750977,16114313598
2022-12-08,13798.114258,14106.885742,13800.498047,14087.175781,14087.175781,16754559316
2022-12-09,14086.091797,14079.065430,13951.033203,13969.429688,13969.429688,16574680796
2022-12-10,13970.301758,14045.951172,13967.516602,13974.075195,13974.075195,10366535813
2022-12-11,13974.880859,14068.264648,13962.615234,13978.983398,13978.983398,11542082528
2022-12-12,13977.600586,14028.291016,13827.708984,14024.089844,14024.089844,15989290054
2022-12-13,14024.091797,14429.792969,13925.108398,14392.235352,14392.235352,21558213146
2022-12-14,14392.840820,14726.358398,14270.357422,14345.766602,14345.766602,20561232652
2022-12-15,14344.152344,14373.322266,14217.810547,14244.277344,14244.277344,17196990223
2022-12-16,14244.015625,14363.230469,13656.705078,13703.892578,13703.892578,19782363895
2022-12-17,13703.479492,13834.479492,13680.855469,13829.951172,13829.951172,11910065381
2022-12-18,13830.377930,13826.518555,13749.853516,13781.894531,13781.894531,8984276699
2022-12-19,13782.769531,13806.744141,13497.240234,13525.039063,13525.039063,14167898797
2022-12-20,13526.773438,14009.189453,13530.253906,13870.862305,13870.862305,18642457778
2022-12-21,13869.404297,13881.671875,13857.022461,13925.944336,13925.944336,12323986357
2022-12-22,13926.644531,13934.976563,13804.700195,13981.368164,13981.368164,13658409330
2022-12-23,13980.789063,14020.107422,13967.901367,13935.910156,13935.910156,12718216140
2022-12-24,13935.930664,13992.121094,13933.069336,13978.060547,13978.060547,8084822582
2022-12-25,13977.852539,13988.678711,13902.571289,13970.950195,13970.950195,9669328506
2022-12-26,13971.167969,14003.517578,13929.889648,14003.253906,14003.253906,9837943452
2022-12-27,14002.829102,14034.833008,13835.137695,13900.296875,13900.296875,13094912972
2022-12-28,13899.653320,13848.329102,13725.719727,13761.642578,13761.642578,14138380496
2022-12-29,13761.435547,13837.160156,13709.833984,13805.222656,13805.222656,12005068322
2022-12-30,13804.382813,13806.338867,13582.739258,13717.736328,13717.736328,13161327492
2022-12-31,13718.636719,13745.238281,13653.100586,13677.877930,13677.877930,9290120459
2023-01-01,13678.224609,13756.500000,13656.170898,13743.139648,13743.139648,7641860844
2023-01-02,13743.495117,13887.429688,13699.350586,13834.475586,13834.475586,10028862099
2023-01-03,13834.787109,13886.516602,13900.773438,13938.639648,13938.639648,11618205460
2023-01-04,13938.929688,14060.638672,13900.998047,13987.027344,13987.027344,15279712359
2023-01-05,13987.221680,14000.991211,14080.180664,14138.009766,14138.009766,11497973681
2023-01-06,14137.789063,14052.022461,14086.277344,14018.007813,14018.007813,11919018204
2023-01-07,14018.128906,14037.065430,13986.768555,14020.577148,14020.577148,6379533846
2023-01-08,14019.806641,14101.578125,13994.919922,14101.578125,14101.578125,8060074304
2023-01-09,14103.928711,14250.304688,14103.928711,14114.278320,14114.278320,15286476279
